epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,809.569,1.07244,4.13055,0.29526,0.98097,1.44442,0.90709,0.8486,0.93789,0.68028,0.85323,0.78441,0.83566,0.34137,0.9911,2.96059,0.06132,0.7985,1.62698,0.00105381,0.00105381,0.00105381
28,837.827,1.07272,4.00932,0.29091,0.98099,1.4359,0.92009,0.84075,0.93231,0.67121,0.8298,0.7538,0.77105,0.27928,0.97089,3.25738,0.05286,0.72417,1.61112,0.00105161,0.00105161,0.00105161
29,868.002,1.07371,3.97184,0.28207,0.99304,1.43822,0.9383,0.92986,0.95576,0.71241,0.85851,0.84295,0.81719,0.29293,0.94335,2.93973,0.0566,0.64619,1.57031,0.00104941,0.00104941,0.00104941
30,897.104,1.06685,4.00559,0.28609,0.9785,1.42782,0.89306,0.90241,0.93846,0.68016,0.83493,0.82823,0.81343,0.31486,1.00811,3.09007,0.05661,0.76487,1.6701,0.00104721,0.00104721,0.00104721
31,925.241,1.05509,3.94486,0.28129,0.94221,1.41197,0.94599,0.91611,0.96605,0.71847,0.88909,0.83677,0.84579,0.33076,0.92878,2.9151,0.04827,0.62024,1.56994,0.00104501,0.00104501,0.00104501
32,954.554,1.03979,3.87536,0.27631,0.91986,1.40582,0.90287,0.96139,0.96139,0.67009,0.83614,0.82196,0.82782,0.3328,1.04659,2.98374,0.03111,0.6492,1.66834,0.00104281,0.00104281,0.00104281
33,983.287,1.02942,3.89157,0.27707,0.92152,1.41165,0.91137,0.90544,0.94583,0.69167,0.84374,0.83281,0.82522,0.33829,0.96526,2.9774,0.07938,0.68877,1.62702,0.00104061,0.00104061,0.00104061
34,1012.14,1.0372,3.85019,0.27904,0.92262,1.40653,0.9456,0.89815,0.96359,0.7326,0.88186,0.83024,0.84519,0.34498,0.92751,2.8197,0.05464,0.62535,1.60317,0.00103841,0.00103841,0.00103841
35,1042.13,1.02988,3.78664,0.27359,0.87832,1.39973,0.96398,0.95212,0.97501,0.72753,0.85864,0.8433,0.81957,0.34763,0.95605,2.96749,0.05493,0.61961,1.56782,0.00103621,0.00103621,0.00103621
36,1071.31,1.01024,3.73118,0.26413,0.90934,1.39427,0.94264,0.92224,0.96835,0.73656,0.83797,0.81718,0.79205,0.34483,0.91876,3.0034,0.04002,0.60338,1.56311,0.00103401,0.00103401,0.00103401
37,1100.69,1.00125,3.6699,0.27344,0.86348,1.3883,0.88905,0.87905,0.91004,0.7116,0.80261,0.76514,0.7171,0.31669,0.87288,3.14162,0.06653,0.73329,1.50853,0.00103181,0.00103181,0.00103181
38,1130,1.03269,3.77488,0.2742,0.88844,1.40227,0.91098,0.88941,0.94269,0.72366,0.83072,0.819,0.80826,0.33521,0.89736,3.22954,0.05009,0.65602,1.56793,0.00102961,0.00102961,0.00102961
39,1159.15,1.00415,3.67603,0.26404,0.86227,1.37908,0.91137,0.91204,0.95231,0.71086,0.85785,0.81978,0.83795,0.37969,0.95507,2.73831,0.04888,0.6631,1.57334,0.00102741,0.00102741,0.00102741
40,1188.6,1.0179,3.64049,0.26157,0.83476,1.38213,0.94691,0.93568,0.96632,0.74073,0.87693,0.87553,0.88618,0.3837,0.92236,2.64766,0.05453,0.56918,1.56223,0.00102521,0.00102521,0.00102521
41,1218.13,1.00461,3.68801,0.26594,0.87164,1.37728,0.92147,0.92442,0.95875,0.68456,0.8376,0.83904,0.83184,0.3737,1.02982,2.85868,0.06806,0.67147,1.66373,0.00102301,0.00102301,0.00102301
42,1247.66,1.00906,3.60095,0.27269,0.8828,1.39963,0.91102,0.91774,0.95787,0.70753,0.85733,0.79925,0.82412,0.372,0.9506,2.66556,0.06177,0.60961,1.59366,0.00102081,0.00102081,0.00102081
43,1277.01,1.00571,3.6045,0.26929,0.85167,1.39063,0.91692,0.92053,0.96588,0.7357,0.79341,0.79392,0.76893,0.34753,0.91422,2.96419,0.04014,0.62513,1.56255,0.00101861,0.00101861,0.00101861
44,1306.59,0.95873,3.55935,0.25597,0.82975,1.34919,0.94893,0.93221,0.96973,0.74843,0.8985,0.8874,0.89614,0.41853,0.88197,2.50628,0.03849,0.57995,1.51196,0.00101641,0.00101641,0.00101641
45,1336.19,0.97929,3.56489,0.25937,0.82501,1.36058,0.90192,0.91204,0.94072,0.72725,0.78829,0.77323,0.73252,0.31724,0.9055,3.34138,0.04936,0.64784,1.55948,0.00101421,0.00101421,0.00101421
46,1365.35,0.99572,3.50336,0.26895,0.81802,1.37916,0.84062,0.91215,0.92448,0.70062,0.792,0.8588,0.85234,0.38085,0.91863,2.6368,0.06878,0.65377,1.5571,0.00101201,0.00101201,0.00101201
47,1394.02,0.99221,3.56649,0.2592,0.82442,1.36553,0.90399,0.88307,0.94214,0.70395,0.81688,0.76557,0.73602,0.32727,0.8933,3.01747,0.06568,0.70353,1.53152,0.00100981,0.00100981,0.00100981
48,1423.49,0.97503,3.56979,0.25776,0.81404,1.36415,0.93969,0.92684,0.96604,0.74028,0.80849,0.81878,0.78334,0.36916,0.89177,2.81726,0.0399,0.58413,1.53184,0.00100761,0.00100761,0.00100761
49,1452.66,0.9661,3.43275,0.25661,0.81879,1.35602,0.94997,0.92307,0.96782,0.72632,0.88227,0.8444,0.84932,0.36684,0.90095,2.7722,0.05965,0.58727,1.53572,0.00100541,0.00100541,0.00100541
50,1482.25,0.988,3.46104,0.26233,0.81067,1.36275,0.95902,0.91333,0.96205,0.74481,0.87469,0.83424,0.84917,0.38045,0.84915,2.65123,0.06066,0.58938,1.49757,0.00100321,0.00100321,0.00100321
51,1511.7,0.96014,3.45145,0.25817,0.78285,1.35104,0.91186,0.92999,0.96359,0.74358,0.80046,0.75235,0.75237,0.37705,0.85832,3.23778,0.05134,0.6357,1.50101,0.00100101,0.00100101,0.00100101
52,1541.71,0.97779,3.59263,0.25326,0.82735,1.36153,0.8948,0.93851,0.9529,0.74043,0.89804,0.88658,0.89847,0.42638,0.88525,2.39518,0.03829,0.58551,1.50973,0.000998811,0.000998811,0.000998811
53,1570.97,0.95324,3.36673,0.2493,0.78764,1.34682,0.95084,0.91096,0.95538,0.74392,0.86235,0.82407,0.81574,0.38682,0.87872,2.73356,0.03375,0.61248,1.51978,0.000996611,0.000996611,0.000996611
54,1600.17,0.95151,3.32012,0.24622,0.77921,1.35138,0.95927,0.92487,0.97373,0.75841,0.89821,0.86536,0.88897,0.4088,0.86018,2.55916,0.05078,0.58271,1.49901,0.000994412,0.000994412,0.000994412
55,1632.23,0.96605,3.37949,0.25546,0.77603,1.35139,0.94,0.92977,0.96152,0.73676,0.91014,0.90246,0.9073,0.42091,0.86993,2.29371,0.03188,0.5595,1.52258,0.000992212,0.000992212,0.000992212
56,1661.4,0.95167,3.35922,0.25098,0.7719,1.34128,0.93341,0.94708,0.96757,0.74062,0.88147,0.89306,0.88771,0.42418,0.92146,2.41207,0.05877,0.58865,1.6001,0.000990012,0.000990012,0.000990012
57,1691.07,0.93666,3.24603,0.25121,0.74654,1.32971,0.94142,0.91441,0.95664,0.7353,0.89775,0.87441,0.88077,0.42084,0.84274,2.36055,0.06352,0.60709,1.50173,0.000987812,0.000987812,0.000987812
58,1720.21,0.94477,3.28871,0.26068,0.76921,1.34566,0.92158,0.91048,0.9504,0.71728,0.85325,0.84373,0.83652,0.39789,0.91214,2.55357,0.07661,0.63922,1.54094,0.000985613,0.000985613,0.000985613
59,1749.9,0.94657,3.23424,0.24765,0.74421,1.33203,0.96513,0.94478,0.96643,0.74111,0.9415,0.908,0.92433,0.43341,0.84881,2.43108,0.07689,0.55463,1.49255,0.000983413,0.000983413,0.000983413
60,1779.65,0.97394,3.24973,0.25042,0.7837,1.36436,0.95211,0.92208,0.96099,0.75199,0.92819,0.89858,0.91063,0.47304,0.87805,2.22977,0.04855,0.56346,1.50092,0.000981213,0.000981213,0.000981213
61,1809.71,0.90417,3.27121,0.25137,0.73159,1.31145,0.93759,0.94531,0.96629,0.75443,0.892,0.89414,0.8894,0.4454,0.82845,2.28714,0.03969,0.55438,1.46671,0.000979013,0.000979013,0.000979013
62,1839.1,0.92721,3.24987,0.2466,0.74995,1.32929,0.94304,0.94641,0.97343,0.75944,0.88672,0.89261,0.89467,0.44865,0.83308,2.37419,0.05033,0.52923,1.48775,0.000976813,0.000976813,0.000976813
63,1868.36,0.92863,3.25087,0.25035,0.7544,1.32319,0.95232,0.94659,0.96892,0.74451,0.89753,0.89299,0.9013,0.42258,0.89625,2.49593,0.04465,0.55429,1.54145,0.000974614,0.000974614,0.000974614
64,1897.51,0.91881,3.14986,0.24901,0.73695,1.31594,0.96385,0.94018,0.9704,0.76921,0.92217,0.89994,0.91053,0.46913,0.81952,2.34473,0.0557,0.50608,1.45823,0.000972414,0.000972414,0.000972414
65,1927.4,0.90542,3.09199,0.24044,0.75335,1.30735,0.95158,0.92916,0.96813,0.76599,0.92999,0.9087,0.93948,0.48821,0.80364,2.16987,0.02665,0.51044,1.47592,0.000970214,0.000970214,0.000970214
66,1957.05,0.89239,3.16619,0.24786,0.70439,1.30686,0.93223,0.94547,0.96135,0.7529,0.88413,0.89443,0.87566,0.44085,0.828,2.41063,0.05681,0.52778,1.45998,0.000968014,0.000968014,0.000968014
67,1986.12,0.90805,3.03918,0.23659,0.7132,1.31489,0.95574,0.94483,0.97248,0.76672,0.91352,0.90448,0.92033,0.49494,0.82214,2.19739,0.03947,0.49163,1.44123,0.000965815,0.000965815,0.000965815
68,2015.89,0.89572,3.14059,0.2368,0.72818,1.30582,0.97227,0.94778,0.97417,0.76692,0.95062,0.92856,0.93461,0.47107,0.84315,2.1863,0.06678,0.52478,1.4699,0.000963615,0.000963615,0.000963615
69,2045.33,0.88237,2.94571,0.24011,0.69013,1.28992,0.91051,0.91073,0.95791,0.75089,0.89459,0.88142,0.89725,0.46829,0.83484,2.16609,0.0403,0.57051,1.47236,0.000961415,0.000961415,0.000961415
70,2074.27,0.88864,3.05281,0.24951,0.70762,1.30231,0.95781,0.96335,0.96792,0.75837,0.89674,0.89896,0.86737,0.44613,0.8398,2.3439,0.0334,0.52518,1.47692,0.000959215,0.000959215,0.000959215
71,2103.75,0.91442,3.10131,0.23955,0.7207,1.31176,0.95444,0.93996,0.96286,0.76809,0.92602,0.904,0.91908,0.45516,0.81068,2.23539,0.04661,0.53504,1.47601,0.000957015,0.000957015,0.000957015
