epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4797,1.29621,5.87022,0.46728,3.19386,1.67848,0.36261,0.44116,0.35672,0.21399,0.23347,0.26142,0.17014,0.04429,1.20675,4.62244,0.12567,2.87533,1.93952,0.000361075,0.000361075,0.000361075
2,72.7221,1.26302,5.36723,0.3687,2.24932,1.61513,0.54691,0.6629,0.6043,0.35796,0.34518,0.36107,0.27099,0.07532,1.34955,4.55071,0.11434,1.70381,2.10672,0.000724167,0.000724167,0.000724167
3,97.4193,1.32373,5.44724,0.36397,1.95412,1.65773,0.60887,0.10713,0.13958,0.05636,0.46196,0.05615,0.02277,0.00405,2.43914,7.27653,0.43906,3.84083,3.04161,0.00107993,0.00107993,0.00107993
4,119.143,1.36782,5.83525,0.38026,1.8578,1.68055,0.47106,0.40245,0.38748,0.17853,0.39896,0.14898,0.10824,0.02298,1.64943,5.93858,0.16735,2.55394,2.54646,0.001078,0.001078,0.001078
5,146.463,1.34539,5.59211,0.36357,1.68708,1.65559,0.55574,0.52709,0.50354,0.27051,0.32115,0.23543,0.1911,0.05346,1.51195,5.62307,0.10477,2.11961,2.37039,0.001067,0.001067,0.001067
6,167.469,1.3147,5.36734,0.34941,1.55098,1.62348,0.60729,0.55629,0.58485,0.32021,0.47945,0.41922,0.37637,0.09728,1.49131,4.91859,0.07155,1.68213,2.1799,0.00105601,0.00105601,0.00105601
7,188.576,1.27956,5.24082,0.34721,1.44122,1.58929,0.81845,0.77119,0.84481,0.51096,0.44543,0.4169,0.35302,0.09144,1.26452,4.94079,0.15299,1.19436,2.00899,0.00104501,0.00104501,0.00104501
8,209.997,1.26721,5.17814,0.33371,1.39816,1.59019,0.74196,0.69272,0.68708,0.42265,0.58768,0.4321,0.38004,0.09894,1.36889,5.03718,0.09368,1.55401,2.07142,0.00103401,0.00103401,0.00103401
9,231.099,1.22722,4.96479,0.31926,1.30752,1.55183,0.7627,0.67146,0.72405,0.451,0.5244,0.47448,0.41107,0.12546,1.18111,4.2732,0.08057,1.35957,1.90804,0.00102301,0.00102301,0.00102301
10,253.747,1.20478,4.85748,0.31474,1.22679,1.5263,0.80014,0.82398,0.85587,0.52715,0.54153,0.49535,0.39518,0.11343,1.20405,4.25983,0.08973,0.98663,1.88477,0.00101201,0.00101201,0.00101201
11,274.793,1.19443,4.78381,0.31639,1.22677,1.51982,0.86803,0.87664,0.91516,0.62339,0.73151,0.7129,0.70333,0.24069,1.11708,3.55966,0.08518,0.81214,1.79368,0.00100101,0.00100101,0.00100101
12,297.485,1.1661,4.6834,0.31071,1.16078,1.51056,0.83676,0.81601,0.87938,0.55084,0.67741,0.54174,0.53066,0.14982,1.22572,3.90394,0.21947,0.99968,1.88006,0.000990012,0.000990012,0.000990012
13,319.313,1.1428,4.49187,0.31162,1.11315,1.4862,0.83189,0.87107,0.9145,0.63916,0.71848,0.69407,0.66519,0.22487,1.06996,3.64368,0.20416,0.84459,1.69635,0.000979013,0.000979013,0.000979013
14,340.277,1.15129,4.48935,0.30472,1.13013,1.48341,0.84413,0.92715,0.93933,0.65658,0.74092,0.68675,0.64498,0.18057,1.0369,3.51677,0.07158,0.73176,1.73301,0.000968014,0.000968014,0.000968014
15,362.186,1.15063,4.40179,0.30284,1.08284,1.48718,0.86635,0.86181,0.91832,0.65572,0.72079,0.7157,0.6688,0.23567,0.97249,3.75701,0.09024,0.80112,1.63341,0.000957015,0.000957015,0.000957015
16,383.495,1.11396,4.28821,0.29466,1.03313,1.46083,0.83523,0.89984,0.92526,0.64747,0.73258,0.69905,0.67104,0.23377,1.02132,3.60018,0.06852,0.78896,1.68784,0.000946016,0.000946016,0.000946016
17,405.786,1.12959,4.20712,0.2857,1.04349,1.46329,0.86829,0.89244,0.9347,0.63307,0.66107,0.70155,0.65923,0.20409,1.10988,4.03476,0.05482,0.77984,1.78036,0.000935018,0.000935018,0.000935018
18,426.4,1.0641,4.19324,0.29037,1.01725,1.43132,0.80045,0.75653,0.85061,0.57379,0.6853,0.63438,0.65069,0.20579,1.14374,3.62938,0.03643,1.18227,1.85184,0.000924019,0.000924019,0.000924019
19,448.214,1.06695,3.98492,0.28945,0.97801,1.42867,0.92101,0.87367,0.9532,0.68707,0.80031,0.74067,0.71263,0.27648,1.01,3.30938,0.07891,0.7416,1.64704,0.00091302,0.00091302,0.00091302
20,469.615,1.08368,4.07452,0.27949,0.96692,1.42998,0.81674,0.91385,0.91687,0.65307,0.81588,0.71624,0.75643,0.26753,1.03765,3.12102,0.09957,0.81033,1.69519,0.000902021,0.000902021,0.000902021
21,491.135,1.03581,4.08947,0.28531,0.95498,1.4044,0.91371,0.92264,0.93656,0.68889,0.78537,0.78325,0.73566,0.28036,0.93136,3.29421,0.05999,0.69803,1.59817,0.000891022,0.000891022,0.000891022
22,513.487,1.04592,3.91307,0.28175,0.9646,1.41506,0.92127,0.89977,0.95406,0.72114,0.86679,0.7641,0.77345,0.29584,0.91612,3.17703,0.08387,0.62599,1.56516,0.000880023,0.000880023,0.000880023
23,534.609,1.05471,3.93121,0.2715,0.93919,1.42166,0.88371,0.90774,0.94906,0.68736,0.872,0.78566,0.82328,0.30096,0.94586,2.88744,0.04366,0.68728,1.58383,0.000869024,0.000869024,0.000869024
24,556.968,1.02999,3.83402,0.27077,0.89463,1.40207,0.90111,0.87905,0.94395,0.68675,0.818,0.73639,0.73502,0.26381,0.94605,3.10141,0.03228,0.65859,1.58185,0.000858025,0.000858025,0.000858025
25,577.107,1.02426,3.8025,0.26561,0.87913,1.39609,0.86643,0.89442,0.90544,0.67252,0.79923,0.79447,0.76947,0.32,0.90024,2.99953,0.09807,0.67583,1.54411,0.000847026,0.000847026,0.000847026
26,597.739,1.03295,3.70623,0.27274,0.88451,1.39904,0.87423,0.95282,0.94405,0.70129,0.82653,0.85468,0.85435,0.3632,0.9353,2.8236,0.07573,0.66421,1.59548,0.000836027,0.000836027,0.000836027
27,619.537,1.03436,3.77507,0.2722,0.87266,1.40062,0.90988,0.89738,0.94984,0.72132,0.81724,0.80615,0.79787,0.34185,0.88927,2.93184,0.04793,0.62349,1.53389,0.000825029,0.000825029,0.000825029
28,640.079,1.00638,3.6283,0.26988,0.86561,1.38971,0.9184,0.92963,0.93267,0.69916,0.82855,0.83697,0.80275,0.33296,0.8956,2.78221,0.08747,0.62929,1.54286,0.00081403,0.00081403,0.00081403
29,661.638,1.00528,3.5813,0.26845,0.83974,1.37668,0.88762,0.95695,0.95453,0.71177,0.81517,0.79161,0.78468,0.32085,0.89996,3.42857,0.09446,0.61039,1.53466,0.000803031,0.000803031,0.000803031
30,682.201,1.00605,3.57528,0.26036,0.8502,1.37736,0.91184,0.87726,0.94097,0.72518,0.82949,0.78683,0.81315,0.33119,0.87632,3.05122,0.06422,0.63971,1.50542,0.000792032,0.000792032,0.000792032
31,702.657,0.96723,3.51514,0.26337,0.8137,1.35895,0.91568,0.94639,0.94927,0.72003,0.8669,0.85182,0.84786,0.38191,0.88418,2.67657,0.03476,0.56227,1.50298,0.000781033,0.000781033,0.000781033
32,725.186,0.9749,3.39142,0.25749,0.82394,1.35968,0.92439,0.93513,0.96817,0.7573,0.86878,0.86507,0.86339,0.42057,0.86694,2.54101,0.10637,0.59513,1.50337,0.000770034,0.000770034,0.000770034
33,745.557,0.97411,3.37983,0.25023,0.81548,1.36414,0.93045,0.90638,0.94406,0.72542,0.82603,0.7997,0.79784,0.3532,0.9002,2.6889,0.07533,0.60725,1.51646,0.000759035,0.000759035,0.000759035
34,766.168,0.98395,3.38633,0.24956,0.80067,1.37179,0.89774,0.94472,0.95325,0.74702,0.84702,0.87716,0.8762,0.39115,0.83627,2.56619,0.04862,0.55931,1.47263,0.000748036,0.000748036,0.000748036
35,787.23,0.95606,3.43143,0.25561,0.79055,1.34917,0.92145,0.93658,0.95601,0.74734,0.88657,0.89879,0.89965,0.42603,0.8305,2.44039,0.08372,0.56218,1.46708,0.000737037,0.000737037,0.000737037
36,807.812,0.95881,3.30407,0.25518,0.75718,1.34903,0.92026,0.90641,0.9521,0.72806,0.84673,0.83238,0.83796,0.40476,0.88168,2.72347,0.06393,0.57953,1.52454,0.000726038,0.000726038,0.000726038
37,828.984,0.91741,3.20286,0.25631,0.74301,1.3221,0.89781,0.9283,0.93332,0.72632,0.85951,0.88903,0.87133,0.40567,0.86559,2.5447,0.06039,0.60849,1.51478,0.00071504,0.00071504,0.00071504
38,849.439,0.93174,3.22346,0.2503,0.74809,1.31749,0.91367,0.91905,0.92719,0.74122,0.87698,0.85669,0.83856,0.41037,0.81624,2.49462,0.07188,0.56465,1.46506,0.000704041,0.000704041,0.000704041
39,869.971,0.94742,3.10947,0.24685,0.76719,1.33299,0.92905,0.89948,0.92443,0.7243,0.90729,0.87925,0.89021,0.43108,0.83683,2.51817,0.08104,0.57172,1.4907,0.000693042,0.000693042,0.000693042
