epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4455,1.56025,7.25692,0.56046,3.49584,1.9251,0.24281,0.42249,0.27677,0.15281,0.06052,0.13359,0.05234,0.00978,1.4315,5.91007,0.07744,2.88386,2.21188,0.000361075,0.000361075,0.000361075
2,64.2792,1.5327,6.93635,0.44328,2.70015,1.83862,0.28462,0.46609,0.33502,0.1519,0.03612,0.09361,0.01623,0.00186,1.72744,6.60608,0.12713,2.37597,2.59176,0.000726581,0.000726581,0.000726581
3,95.1939,1.55887,6.86642,0.45383,2.43813,1.86682,0.07383,0.18124,0.05449,0.01366,0.20661,0.0069,0.00051,6e-05,2.40069,7.88512,0.09502,4.19218,3.33658,0.0010872,0.0010872,0.0010872
4,125.827,1.60347,7.09929,0.4448,2.36913,1.90548,0.35802,0.41737,0.27039,0.12104,0.11688,0.0269,0.01421,0.00148,1.86618,7.20946,0.11567,2.86663,2.96336,0.001089,0.001089,0.001089
5,156.22,1.59805,6.94063,0.43685,2.23643,1.87185,0.33674,0.52153,0.37747,0.19141,0.12661,0.06783,0.02303,0.00319,1.65191,6.68468,0.07722,2.16852,2.35167,0.00108167,0.00108167,0.00108167
6,187.612,1.57162,6.70257,0.40194,2.09984,1.83332,0.35295,0.55543,0.41498,0.21145,0.12443,0.08648,0.03341,0.00617,1.61978,6.27971,0.04462,1.99323,2.28974,0.00107434,0.00107434,0.00107434
7,218.635,1.52745,6.67307,0.41558,1.99004,1.81995,0.45466,0.41092,0.42894,0.19709,0.14192,0.0745,0.04764,0.0095,1.87687,6.88765,0.2264,2.1181,2.64485,0.001067,0.001067,0.001067
8,248.98,1.49061,6.58611,0.39103,1.91281,1.7848,0.56368,0.57079,0.62003,0.36586,0.21045,0.13143,0.0765,0.01821,1.40584,6.15169,0.10018,1.53105,2.11396,0.00105967,0.00105967,0.00105967
9,280.591,1.49431,6.388,0.37886,1.82785,1.76773,0.58716,0.6405,0.60472,0.34916,0.34198,0.23369,0.13477,0.02684,1.42011,5.4348,0.17404,1.52788,2.07909,0.00105234,0.00105234,0.00105234
10,309.96,1.46356,6.38078,0.37843,1.82849,1.73658,0.63014,0.61467,0.6411,0.36297,0.21673,0.2054,0.11884,0.02098,1.42344,5.77351,0.05773,1.48848,2.10895,0.00104501,0.00104501,0.00104501
11,340.187,1.44048,6.26751,0.37344,1.76461,1.7331,0.64601,0.70256,0.74282,0.40256,0.3587,0.22427,0.17492,0.04929,1.416,5.44079,0.10847,1.35276,2.0315,0.00103767,0.00103767,0.00103767
12,371.663,1.42944,6.19904,0.37157,1.7165,1.71254,0.64577,0.78967,0.77442,0.45849,0.31162,0.17332,0.14773,0.03544,1.41495,5.9977,0.04903,1.16906,2.01155,0.00103034,0.00103034,0.00103034
13,402.383,1.40969,6.08196,0.35902,1.63835,1.70349,0.68567,0.68621,0.76775,0.46792,0.41114,0.30807,0.27016,0.06714,1.26793,5.39857,0.10895,1.22148,1.91009,0.00102301,0.00102301,0.00102301
14,433.155,1.3986,5.80758,0.35056,1.61953,1.68988,0.79179,0.72086,0.8156,0.46325,0.42644,0.35311,0.26817,0.06447,1.41779,5.09648,0.10956,1.15568,2.04592,0.00101568,0.00101568,0.00101568
15,463.663,1.38984,5.89469,0.35748,1.61595,1.68529,0.74474,0.79172,0.80808,0.49593,0.30075,0.20989,0.16743,0.04151,1.2662,5.68053,0.13708,1.10695,1.95537,0.00100834,0.00100834,0.00100834
16,494.399,1.37804,5.72913,0.3428,1.57375,1.65332,0.76016,0.72872,0.78297,0.46192,0.40464,0.34102,0.2494,0.05043,1.27998,4.94103,0.12163,1.17457,1.9012,0.00100101,0.00100101,0.00100101
17,523.891,1.3415,5.83497,0.34192,1.52583,1.63904,0.72125,0.66727,0.73727,0.46703,0.348,0.28216,0.23817,0.06304,1.21592,5.35407,0.0926,1.2415,1.88509,0.000993678,0.000993678,0.000993678
