epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9537,0.78464,2.39959,0.21363,0.58737,1.22741,0.96295,0.95988,0.9682,0.79646,0.94056,0.93942,0.94278,0.57618,0.69788,1.67768,0.02851,0.43346,1.33938,0.000361075,0.000361075,0.000361075
2,46.2835,0.79218,2.41153,0.21471,0.57491,1.22838,0.95501,0.952,0.9633,0.78872,0.93494,0.93177,0.92989,0.53504,0.72393,1.75477,0.0378,0.46202,1.37382,0.000724167,0.000724167,0.000724167
3,66.3697,0.79395,2.53347,0.21104,0.59021,1.2364,0.96104,0.96641,0.96831,0.7779,0.93342,0.93928,0.93268,0.53987,0.78621,1.85827,0.03111,0.47774,1.46414,0.00107993,0.00107993,0.00107993
4,86.8588,0.82248,2.6449,0.21976,0.62152,1.25521,0.93041,0.9431,0.95739,0.75979,0.89503,0.89823,0.89681,0.48795,0.79618,2.16793,0.04078,0.51189,1.42438,0.001078,0.001078,0.001078
5,108.341,0.84891,2.73355,0.22274,0.65127,1.27124,0.94746,0.94641,0.95532,0.74211,0.87829,0.87928,0.85243,0.46241,0.81041,2.30946,0.01979,0.58249,1.48125,0.001067,0.001067,0.001067
6,128.561,0.82179,2.61063,0.21695,0.61581,1.24624,0.96168,0.94595,0.96668,0.76719,0.90821,0.87474,0.87689,0.49425,0.77041,2.44682,0.03352,0.47195,1.41472,0.00105601,0.00105601,0.00105601
7,149.216,0.82577,2.62065,0.22561,0.62042,1.25067,0.97082,0.95631,0.9762,0.78833,0.92827,0.91603,0.92289,0.508,0.74081,2.10699,0.07513,0.42747,1.38898,0.00104501,0.00104501,0.00104501
8,170.517,0.84656,2.71037,0.22746,0.62594,1.27144,0.93328,0.93331,0.95972,0.76281,0.90718,0.92076,0.93185,0.48653,0.79516,2.00587,0.07289,0.53035,1.44371,0.00103401,0.00103401,0.00103401
9,191.042,0.8214,2.60642,0.21963,0.61297,1.25224,0.94372,0.96103,0.96148,0.78987,0.92136,0.93466,0.93269,0.51711,0.73353,1.86355,0.04197,0.45813,1.37745,0.00102301,0.00102301,0.00102301
10,214.462,0.82069,2.59176,0.2181,0.60077,1.25045,0.95921,0.95142,0.96984,0.78963,0.89599,0.89113,0.88351,0.50369,0.76272,2.441,0.04478,0.46195,1.38939,0.00101201,0.00101201,0.00101201
11,235.56,0.83306,2.59544,0.22061,0.61006,1.25197,0.95567,0.9418,0.96602,0.76994,0.91336,0.90155,0.90366,0.51071,0.77894,2.27057,0.02435,0.50136,1.39487,0.00100101,0.00100101,0.00100101
12,256.991,0.81058,2.63223,0.21988,0.59806,1.24563,0.94802,0.95172,0.96369,0.77757,0.93272,0.92743,0.92986,0.53317,0.74622,2.01939,0.08932,0.48779,1.38178,0.000990012,0.000990012,0.000990012
13,279.479,0.80557,2.54051,0.21623,0.59212,1.23709,0.95925,0.9252,0.96855,0.78835,0.93674,0.90589,0.93713,0.51373,0.75442,1.9982,0.04571,0.51,1.39056,0.000979013,0.000979013,0.000979013
14,300.038,0.80235,2.60716,0.21749,0.59635,1.23237,0.94743,0.94824,0.95771,0.78321,0.93346,0.93467,0.93157,0.52874,0.68526,1.92694,0.02634,0.47031,1.3164,0.000968014,0.000968014,0.000968014
15,322.889,0.81502,2.61081,0.22079,0.60037,1.24287,0.94211,0.95118,0.96778,0.77829,0.92743,0.93724,0.94014,0.52131,0.75877,1.94305,0.03809,0.49958,1.38964,0.000957015,0.000957015,0.000957015
16,343.924,0.7929,2.5297,0.21279,0.58609,1.23105,0.95487,0.95859,0.97601,0.79942,0.91494,0.91834,0.92021,0.56999,0.70852,1.80516,0.02778,0.47006,1.35592,0.000946016,0.000946016,0.000946016
